gateway, tag, rssi, latitude, longitude, ts
ZH/a//4Af7A=,RAK4630-FDE9,-87,22.33821,114.19698,2022-12-14T10:41:20.687412278Z
ZH/a//4Af7A=,RAK4630-FDE9,-87,22.33821,114.19698,2022-12-14T10:41:20.690646332Z
ZH/a//4Aapw=,RAK4630-FDE9,-103,22.34299,114.19675,2022-12-14T10:41:28.185523994Z
ZH/a//4Aap8=,RAK4630-FDE9,-101,0,0,2022-12-14T10:41:28.185523994Z
y01BuvE4WuY=,RAK4630-FDE9,-101,22.3625704,114.119536,2022-12-14T10:41:35.620885499Z
ZH/a//4Aap8=,RAK4630-FDE9,-113,0,0,2022-12-14T10:41:35.620885499Z
cnb/AC4HAWY=,RAK4630-FDE9,-116,22.3707136,114.11456,2022-12-14T10:41:35.620885499Z
ZH/a//4Ax58=,RAK4630-FDE9,-121,22.34953,114.17015,2022-12-14T10:41:35.620885499Z
ZH/a//4Aapw=,RAK4630-FDE9,-105,22.34299,114.19675,2022-12-14T10:41:35.620885499Z
ZH/a//4Aap8=,RAK4630-FDE9,-109,0,0,2022-12-14T10:41:43.123040699Z
y01BuvE4WuY=,RAK4630-FDE9,-85,22.3625704,114.119536,2022-12-14T10:41:43.123040699Z
ZH/a//4Aapw=,RAK4630-FDE9,-103,22.34299,114.19675,2022-12-14T10:41:43.123040699Z
ZH/a//4Af7A=,RAK4630-FDE9,-103,22.33821,114.19698,2022-12-14T10:41:43.123040699Z
y01BuvE4WuY=,RAK4630-FDE9,-99,22.3625704,114.119536,2022-12-14T10:41:50.610882619Z
cnb/AC4IA/g=,RAK4630-FDE9,-95,22.344057083129883,114.197265625,2022-12-14T10:41:50.610882619Z
ZH/a//4Aapw=,RAK4630-FDE9,-105,22.34299,114.19675,2022-12-14T10:41:50.610882619Z
ZH/a//4Aap8=,RAK4630-FDE9,-113,0,0,2022-12-14T10:41:50.610882619Z
ZH/a//4Af7A=,RAK4630-FDE9,-113,22.33821,114.19698,2022-12-14T10:41:50.610882619Z
y01BuvE4WuY=,RAK4630-FDE9,-92,22.3625704,114.119536,2022-12-14T10:41:58.166766309Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:41:58.166766309Z
cnb/AC4HAWY=,RAK4630-FDE9,-114,22.3707136,114.11456,2022-12-14T10:41:58.166766309Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:42:05.772630395Z
ZH/a//4Ax50=,RAK4630-FDE9,-117,22.357,114.21961,2022-12-14T10:42:05.772630395Z
ZH/a//4Af7A=,RAK4630-FDE9,-113,22.33821,114.19698,2022-12-14T10:42:05.772630395Z
y01BuvE4WuY=,RAK4630-FDE9,-93,22.3625704,114.119536,2022-12-14T10:42:05.772630395Z
ZH/a//4Aap8=,RAK4630-FDE9,-110,0,0,2022-12-14T10:42:05.772630395Z
cnb/AC4HAWY=,RAK4630-FDE9,-113,22.3707136,114.11456,2022-12-14T10:42:05.772630395Z
ZH/a//4Ax58=,RAK4630-FDE9,-121,22.34953,114.17015,2022-12-14T10:42:05.772630395Z
ZH/a//4Ax58=,RAK4630-FDE9,-121,22.34953,114.17015,2022-12-14T10:42:13.195514661Z
cnb/AC4HAWY=,RAK4630-FDE9,-112,22.3707136,114.11456,2022-12-14T10:42:13.195514661Z
ZH/a//4Aapw=,RAK4630-FDE9,-105,22.34299,114.19675,2022-12-14T10:42:13.195514661Z
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:42:13.195514661Z
cnb/AC4IA/g=,RAK4630-FDE9,-94,22.344057083129883,114.197265625,2022-12-14T10:42:13.195514661Z
ZH/a//4Aap8=,RAK4630-FDE9,-109,0,0,2022-12-14T10:42:20.633232646Z
ZH/a//4Aapw=,RAK4630-FDE9,-104,22.34299,114.19675,2022-12-14T10:42:20.633232646Z
y01BuvE4WuY=,RAK4630-FDE9,-99,22.3625704,114.119536,2022-12-14T10:42:20.633232646Z
cnb/AC4IA/g=,RAK4630-FDE9,-96,22.344057083129883,114.19728088378906,2022-12-14T10:42:20.633232646Z
y01BuvE4WuY=,RAK4630-FDE9,-92,22.3625704,114.119536,2022-12-14T10:42:28.240279570Z
ZH/a//4Aap8=,RAK4630-FDE9,-109,0,0,2022-12-14T10:42:35.617682466Z
cnb/AC4HAWY=,RAK4630-FDE9,-113,22.3707136,114.11456,2022-12-14T10:42:35.617682466Z
ZH/a//4Aapw=,RAK4630-FDE9,-104,22.34299,114.19675,2022-12-14T10:42:35.617682466Z
y01BuvE4WuY=,RAK4630-FDE9,-97,22.3625704,114.119536,2022-12-14T10:42:35.617682466Z
cnb/AC4IA/g=,RAK4630-FDE9,-95,22.344057083129883,114.19728088378906,2022-12-14T10:42:35.617682466Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:43:05.625655096Z
ZH/a//4Af7A=,RAK4630-FDE9,-116,22.33821,114.19698,2022-12-14T10:43:05.625655096Z
y01BuvE4WuY=,RAK4630-FDE9,-93,22.3625704,114.119536,2022-12-14T10:43:13.298474744Z
ZH/a//4Aap8=,RAK4630-FDE9,-107,0,0,2022-12-14T10:43:20.608857703Z
ZH/a//4Af7A=,RAK4630-FDE9,-113,22.33821,114.19698,2022-12-14T10:43:20.608857703Z
y01BuvE4WuY=,RAK4630-FDE9,-82,22.3625704,114.119536,2022-12-14T10:43:28.108414440Z
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:43:28.108414440Z
ZH/a//4Aap8=,RAK4630-FDE9,-112,0,0,2022-12-14T10:43:35.640859658Z
ZH/a//4Aapw=,RAK4630-FDE9,-103,22.34299,114.19675,2022-12-14T10:43:35.640859658Z
ZH/a//4Af7A=,RAK4630-FDE9,-115,22.33821,114.19698,2022-12-14T10:43:43.169138221Z
y01BuvE4WuY=,RAK4630-FDE9,-99,22.3625704,114.119536,2022-12-14T10:43:50.607782985Z
ZH/a//4Af7A=,RAK4630-FDE9,-116,22.33821,114.19698,2022-12-14T10:43:50.607782985Z
ZH/a//4Ax58=,RAK4630-FDE9,-102,22.34953,114.17015,2022-12-14T10:43:50.607782985Z
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:43:50.607782985Z
y01BuvE4WuY=,RAK4630-FDE9,-95,22.3625704,114.119536,2022-12-14T10:43:58.108635334Z
ZH/a//4Aapw=,RAK4630-FDE9,-105,22.34299,114.19675,2022-12-14T10:44:05.710165017Z
y01BuvE4WuY=,RAK4630-FDE9,-89,22.3625704,114.119536,2022-12-14T10:44:05.710165017Z
ZH/a//4Aap8=,RAK4630-FDE9,-113,0,0,2022-12-14T10:44:05.710165017Z
ZH/a//4Aap8=,RAK4630-FDE9,-107,0,0,2022-12-14T10:44:13.190853277Z
ZH/a//4Ax58=,RAK4630-FDE9,-120,22.34953,114.17015,2022-12-14T10:44:13.190853277Z
ZH/a//4Aapw=,RAK4630-FDE9,-105,22.34299,114.19675,2022-12-14T10:44:13.190853277Z
ZH/a//4Af7A=,RAK4630-FDE9,-116,22.33821,114.19698,2022-12-14T10:44:20.640301374Z
ZH/a//4Aap8=,RAK4630-FDE9,-113,0,0,2022-12-14T10:44:20.640301374Z
ZH/a//4Aap8=,RAK4630-FDE9,-110,0,0,2022-12-14T10:44:28.105835692Z
y01BuvE4WuY=,RAK4630-FDE9,-96,22.3625704,114.119536,2022-12-14T10:44:28.105835692Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:44:35.656301832Z
y01BuvE4WuY=,RAK4630-FDE9,-101,22.3625704,114.119536,2022-12-14T10:44:35.656301832Z
ZH/a//4Aap8=,RAK4630-FDE9,-113,0,0,2022-12-14T10:44:35.656301832Z
ZH/a//4Af7A=,RAK4630-FDE9,-111,22.33821,114.19698,2022-12-14T10:44:43.343602141Z
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:44:50.712628639Z
y01BuvE4WuY=,RAK4630-FDE9,-99,22.3625704,114.119536,2022-12-14T10:44:50.712628639Z
y01BuvE4WuY=,RAK4630-FDE9,-95,22.3625704,114.119536,2022-12-14T10:44:58.718707273Z
cnb/AC4HAWY=,RAK4630-FDE9,-112,22.3707136,114.11456,2022-12-14T10:45:05.609993007Z
ZH/a//4Af7A=,RAK4630-FDE9,-113,22.33821,114.19698,2022-12-14T10:45:05.609993007Z
ZH/a//4Ax58=,RAK4630-FDE9,-120,22.34953,114.17015,2022-12-14T10:45:05.609993007Z
ZH/a//4Ax50=,RAK4630-FDE9,-117,22.35702,114.2196,2022-12-14T10:45:05.609993007Z
ZH/a//4Aapw=,RAK4630-FDE9,-105,22.34299,114.19675,2022-12-14T10:45:05.609993007Z
y01BuvE4WuY=,RAK4630-FDE9,-97,22.3625704,114.119536,2022-12-14T10:45:05.609993007Z
ZH/a//4Af7A=,RAK4630-FDE9,-113,22.33821,114.19698,2022-12-14T10:45:13.116190036Z
ZH/a//4Aapw=,RAK4630-FDE9,-109,22.34299,114.19675,2022-12-14T10:45:13.116190036Z
ZH/a//4Ax58=,RAK4630-FDE9,-122,22.34953,114.17015,2022-12-14T10:45:13.116190036Z
ZH/a//4Aap8=,RAK4630-FDE9,-113,0,0,2022-12-14T10:45:13.116190036Z
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:45:20.781154017Z
y01BuvE4WuY=,RAK4630-FDE9,-98,22.3625704,114.119536,2022-12-14T10:45:20.781154017Z
ZH/a//4Af7A=,RAK4630-FDE9,-116,22.33821,114.19698,2022-12-14T10:45:20.781154017Z
y01BuvE4WuY=,RAK4630-FDE9,-95,22.3625704,114.119536,2022-12-14T10:45:28.115612260Z
ZH/a//4Aapw=,RAK4630-FDE9,-105,22.34299,114.19675,2022-12-14T10:45:35.598805659Z
ZH/a//4Af7A=,RAK4630-FDE9,-116,22.33821,114.19698,2022-12-14T10:45:35.598805659Z
ZH/a//4Ax58=,RAK4630-FDE9,-121,22.34953,114.17015,2022-12-14T10:45:35.598805659Z
y01BuvE4WuY=,RAK4630-FDE9,-98,22.3625704,114.119536,2022-12-14T10:45:35.598805659Z
ZH/a//4Aap8=,RAK4630-FDE9,-114,0,0,2022-12-14T10:45:35.598805659Z
ZH/a//4Aapw=,RAK4630-FDE9,-103,22.34299,114.19675,2022-12-14T10:45:43.116905340Z
y01BuvE4WuY=,RAK4630-FDE9,-95,22.3625704,114.119536,2022-12-14T10:45:43.116905340Z
cnb/AC4IA/g=,RAK4630-FDE9,-93,22.344038009643555,114.1972885131836,2022-12-14T10:45:50.592074195Z
ZH/a//4Aap8=,RAK4630-FDE9,-100,0,0,2022-12-14T10:45:50.592074195Z
ZH/a//4Aap8=,RAK4630-FDE9,-110,0,0,2022-12-14T10:45:58.109966730Z
y01BuvE4WuY=,RAK4630-FDE9,-96,22.3625704,114.119536,2022-12-14T10:45:58.109966730Z
ZH/a//4Aapw=,RAK4630-FDE9,-104,22.34299,114.19675,2022-12-14T10:45:58.109966730Z
ZH/a//4Af7A=,RAK4630-FDE9,-116,22.33821,114.19698,2022-12-14T10:45:58.109966730Z
ZH/a//4Ax58=,RAK4630-FDE9,-122,22.34953,114.17015,2022-12-14T10:46:05.605523565Z
cnb/AC4HAWY=,RAK4630-FDE9,-114,22.3707136,114.11456,2022-12-14T10:46:05.605523565Z
ZH/a//4Ax50=,RAK4630-FDE9,-117,22.35701,114.2196,2022-12-14T10:46:05.605523565Z
ZH/a//4Af7A=,RAK4630-FDE9,-114,22.33821,114.19698,2022-12-14T10:46:05.605523565Z
y01BuvE4WuY=,RAK4630-FDE9,-95,22.3625704,114.119536,2022-12-14T10:46:05.605523565Z
ZH/a//4Aapw=,RAK4630-FDE9,-105,22.34299,114.19675,2022-12-14T10:46:05.605523565Z
rB8J//4GUl0=,RAK4630-FDE9,-121,22.268059103760965,114.22422051048666,2022-12-14T10:46:05.605523565Z
ZH/a//4Aap8=,RAK4630-FDE9,-110,0,0,2022-12-14T10:46:13.272440075Z
ZH/a//4Af7A=,RAK4630-FDE9,-114,22.33821,114.19698,2022-12-14T10:46:13.272440075Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:46:13.272440075Z
y01BuvE4WuY=,RAK4630-FDE9,-95,22.3625704,114.119536,2022-12-14T10:46:13.272440075Z
ZH/a//4Ax58=,RAK4630-FDE9,-120,22.34953,114.17015,2022-12-14T10:46:13.272440075Z
y01BuvE4WuY=,RAK4630-FDE9,-84,22.3625704,114.119536,2022-12-14T10:46:28.217502259Z
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:46:28.217502259Z
ZH/a//4Af7A=,RAK4630-FDE9,-113,22.33821,114.19698,2022-12-14T10:46:35.615261462Z
y01BuvE4WuY=,RAK4630-FDE9,-94,22.3625704,114.119536,2022-12-14T10:46:35.615261462Z
ZH/a//4Aapw=,RAK4630-FDE9,-109,22.34299,114.19675,2022-12-14T10:46:35.615261462Z
cnb/AC4HAWY=,RAK4630-FDE9,-113,22.3707136,114.11456,2022-12-14T10:46:35.615261462Z
cnb/AC4HAWY=,RAK4630-FDE9,-114,22.3707136,114.11456,2022-12-14T10:46:43.166236952Z
ZH/a//4Af7A=,RAK4630-FDE9,-113,22.33821,114.19698,2022-12-14T10:46:43.166236952Z
ZH/a//4Af7A=,RAK4630-FDE9,-115,22.33821,114.19698,2022-12-14T10:46:50.593581530Z
cnb/AC4IA/g=,RAK4630-FDE9,-102,22.34404182434082,114.197265625,2022-12-14T10:46:50.593581530Z
ZH/a//4Ax58=,RAK4630-FDE9,-114,22.34953,114.17015,2022-12-14T10:46:50.593581530Z
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:46:50.593581530Z
y01BuvE4WuY=,RAK4630-FDE9,-98,22.3625704,114.119536,2022-12-14T10:46:58.243500206Z
ZH/a//4Af7A=,RAK4630-FDE9,-115,22.33821,114.19698,2022-12-14T10:46:58.243500206Z
ZH/a//4Aap8=,RAK4630-FDE9,-115,0,0,2022-12-14T10:46:58.243500206Z
cnb/AC4HAWY=,RAK4630-FDE9,-113,22.3707136,114.11456,2022-12-14T10:47:05.611816322Z
ZH/a//4Aapw=,RAK4630-FDE9,-99,22.34299,114.19675,2022-12-14T10:47:05.611816322Z
rB8J//4GUl0=,RAK4630-FDE9,-121,22.268059103760965,114.22422051048666,2022-12-14T10:47:05.611816322Z
ZH/a//4Af7A=,RAK4630-FDE9,-115,22.33821,114.19698,2022-12-14T10:47:13.096595680Z
ZH/a//4Aap8=,RAK4630-FDE9,-109,0,0,2022-12-14T10:47:13.096595680Z
ZH/a//4Ax58=,RAK4630-FDE9,-120,22.34953,114.17015,2022-12-14T10:47:13.096595680Z
y01BuvE4WuY=,RAK4630-FDE9,-98,22.3625704,114.119536,2022-12-14T10:47:13.096595680Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:47:13.096595680Z
ZH/a//4Aap8=,RAK4630-FDE9,-110,0,0,2022-12-14T10:47:20.782716857Z
y01BuvE4WuY=,RAK4630-FDE9,-88,22.3625704,114.119536,2022-12-14T10:47:28.619776717Z
ZH/a//4Ax58=,RAK4630-FDE9,-116,22.34953,114.17015,2022-12-14T10:47:35.662758250Z
y01BuvE4WuY=,RAK4630-FDE9,-97,22.3625704,114.119536,2022-12-14T10:47:35.662758250Z
ZH/a//4Aap8=,RAK4630-FDE9,-105,0,0,2022-12-14T10:47:35.662758250Z
ZH/a//4Aapw=,RAK4630-FDE9,-96,22.34299,114.19675,2022-12-14T10:47:35.662758250Z
y01BuvE4WuY=,RAK4630-FDE9,-95,22.3625704,114.119536,2022-12-14T10:47:43.100513284Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:48:05.598153454Z
y01BuvE4WuY=,RAK4630-FDE9,-96,22.3625704,114.119536,2022-12-14T10:48:05.598153454Z
ZH/a//4Aap8=,RAK4630-FDE9,-113,0,0,2022-12-14T10:48:05.598153454Z
ZH/a//4Af7A=,RAK4630-FDE9,-115,22.33821,114.19698,2022-12-14T10:48:13.100706340Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:48:13.100706340Z
ZH/a//4Aap8=,RAK4630-FDE9,-113,0,0,2022-12-14T10:48:13.100706340Z
y01BuvE4WuY=,RAK4630-FDE9,-97,22.3625704,114.119536,2022-12-14T10:48:13.100706340Z
ZH/a//4Af7A=,RAK4630-FDE9,-114,22.33821,114.19698,2022-12-14T10:48:20.640356655Z
