tag,gateway,rssi,ts
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-108,1671084504.1888213
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-114,1671084511.6909928
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-113,1671084526.7105315
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-107,1671084534.2084126
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-113,1671084541.7108202
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-112,1671084549.2106695
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-114,1671084556.6713507
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-113,1671084571.690535
AC-1F-09-FF-FE-08-FD-F1,20080029c45752f,-107,1671084579.1731753
AC-1F-09-FF-FE-08-FD-F1,20080029c1ea300,-109,1671084579.1954052
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-115,1671084579.1984875
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-111,1671084586.6992085
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-111,1671084594.1986613
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-112,1671084601.6886895
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-115,1671084616.6783192
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-108,1671084631.6594462
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-114,1671084661.6654491
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-114,1671084676.905473
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-112,1671084684.176343
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-111,1671084691.692161
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-113,1671084699.1683547
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-114,1671084706.6893427
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-115,1671084736.6587648
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-113,1671084751.6581624
AC-1F-09-FF-FE-08-FD-F1,20080029c1ea300,-101,1671084751.7354393
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-108,1671084759.158145
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-112,1671084781.6581647
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-114,1671084826.6662936
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-113,1671084834.158761
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-109,1671084856.6583211
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-109,1671084864.167775
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-113,1671084871.638336
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-107,1671084879.144956
AC-1F-09-FF-FE-08-FD-F1,20080029c1ea300,-104,1671084886.634646
